,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
5,Morgan Gibbs-White,eng ENG,MF,25-055,,25,2018.0,22.4,5.0,7.0,12.0,5.0,0.0,0.0,8.0,1.0,3.9,3.9,4.3,8.2,55.0,126.0,101.0,0.22,0.31,0.54,0.22,0.54,0.17,0.19,0.36,0.17,0.36
6,Elliot Anderson,eng ENG,MF,22-137,,24,1982.0,22.0,1.0,6.0,7.0,1.0,0.0,0.0,6.0,0.0,1.4,1.4,3.0,4.3,35.0,104.0,68.0,0.05,0.27,0.32,0.05,0.32,0.06,0.14,0.2,0.06,0.2
7,Anthony Elanga,se SWE,"FW,MF",22-330,,23,1845.0,20.5,5.0,8.0,13.0,5.0,0.0,0.0,1.0,0.0,3.7,3.7,4.3,8.0,76.0,41.0,150.0,0.24,0.39,0.63,0.24,0.63,0.18,0.21,0.39,0.18,0.39
8,Callum Hudson-Odoi,eng ENG,"FW,MF",24-136,,22,1894.0,21.0,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,2.2,2.2,2.4,4.5,107.0,59.0,170.0,0.24,0.1,0.33,0.24,0.33,0.1,0.11,0.21,0.1,0.21
9,Neco Williams,wls WAL,DF,23-344,,19,1784.0,19.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,1.0,2.8,45.0,57.0,65.0,0.05,0.05,0.1,0.05,0.1,0.09,0.05,0.14,0.09,0.14
10,Nicolás Domínguez,ar ARG,"MF,FW",26-268,,16,1395.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.3,1.3,1.0,2.3,9.0,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.15,0.08,0.15
11,Ryan Yates,eng ENG,MF,27-122,,15,1546.0,17.2,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,2.2,2.2,0.9,3.1,15.0,40.0,12.0,0.12,0.0,0.12,0.12,0.12,0.13,0.05,0.18,0.13,0.18
12,Álex Moreno,es ESP,DF,31-288,,10,813.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.0,1.1,24.0,29.0,28.0,0.0,0.11,0.11,0.0,0.11,0.02,0.11,0.12,0.02,0.12
13,James Ward-Prowse,eng ENG,MF,30-142,,5,400.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,1.1,1.2,1.0,16.0,3.0,0.0,0.23,0.23,0.0,0.23,0.01,0.25,0.26,0.01,0.26
14,Jota Silva,pt POR,"FW,MF",25-234,,4,725.0,8.1,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.5,1.5,2.8,4.3,17.0,14.0,47.0,0.25,0.12,0.37,0.25,0.37,0.19,0.35,0.54,0.19,0.54
15,Morato,br BRA,DF,23-266,,4,629.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
16,Ibrahim Sangaré,ci CIV,MF,27-111,,3,274.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,0.0,11.0,2.0,0.0,0.33,0.33,0.0,0.33,0.01,0.1,0.11,0.01,0.11
17,Danilo,br BRA,MF,23-328,,3,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Taiwo Awoniyi,ng NGA,FW,27-223,,2,278.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.1,2.1,5.0,6.0,15.0,0.32,0.0,0.32,0.32,0.32,0.65,0.03,0.68,0.65,0.68
19,Ramón Sosa,py PAR,"FW,MF",25-204,,1,241.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.4,1.4,10.0,4.0,14.0,0.37,0.0,0.37,0.37,0.37,0.35,0.15,0.51,0.35,0.51
20,Willy Boly,ci CIV,DF,34-048,,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
21,Harry Toffolo,eng ENG,DF,29-216,,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
22,Eric da Silva Moreira,de GER,"MF,DF",18-324,,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Zach Abbott,eng ENG,DF,18-314,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Wayne Hennessey,wls WAL,GK,38-058,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Carlos Miguel,br BRA,GK,26-165,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Andrew Omobamidele,ie IRL,DF,22-273,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Squad Total,,,26.9,,319,2610.0,29.0,48.0,34.0,82.0,45.0,3.0,3.0,64.0,2.0,36.5,34.2,26.6,60.8,486.0,839.0,833.0,1.66,1.17,2.83,1.55,2.72,1.26,0.92,2.18,1.18,2.1
28,Opponent Total,,,26.9,,319,2610.0,29.0,35.0,27.0,62.0,33.0,2.0,2.0,76.0,2.0,34.0,32.4,24.1,56.5,769.0,1521.0,1504.0,1.21,0.93,2.14,1.14,2.07,1.17,0.83,2.0,1.12,1.95
0,Moisés Caicedo,ec ECU,MF,23-141,29.0,29,2541.0,28.2,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,0.6,0.6,2.6,3.2,32.0,151.0,28.0,0.04,0.07,0.11,0.04,0.11,0.02,0.09,0.11,0.02,0.11
1,Cole Palmer,eng ENG,MF,22-321,28.0,28,2441.0,27.1,14.0,6.0,20.0,11.0,3.0,4.0,4.0,0.0,15.2,12.1,8.6,20.7,85.0,157.0,141.0,0.52,0.22,0.74,0.41,0.63,0.56,0.32,0.88,0.45,0.76
2,Levi Colwill,eng ENG,DF,22-025,27.0,27,2429.0,27.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.7,0.7,1.1,1.8,10.0,109.0,7.0,0.04,0.04,0.07,0.04,0.07,0.03,0.04,0.07,0.03,0.07
3,Marc Cucurella,es ESP,DF,26-244,27.0,25,2254.0,25.0,4.0,1.0,5.0,4.0,0.0,0.0,8.0,1.0,2.2,2.2,1.7,3.9,29.0,90.0,95.0,0.16,0.04,0.2,0.16,0.2,0.09,0.07,0.15,0.09,0.15
4,Enzo Fernández,ar ARG,MF,24-065,27.0,23,2141.0,23.8,4.0,5.0,9.0,4.0,0.0,0.0,6.0,0.0,4.4,4.4,5.1,9.5,42.0,157.0,85.0,0.17,0.21,0.38,0.17,0.38,0.19,0.21,0.4,0.19,0.4
5,Robert Sánchez,es ESP,GK,27-125,23.0,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Nicolas Jackson,sn SEN,FW,23-276,23.0,22,1736.0,19.3,9.0,5.0,14.0,9.0,0.0,0.0,5.0,0.0,11.4,11.4,4.0,15.4,41.0,27.0,94.0,0.47,0.26,0.73,0.47,0.73,0.59,0.21,0.8,0.59,0.8
7,Noni Madueke,eng ENG,FW,23-013,23.0,19,1453.0,16.1,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,7.6,7.6,3.6,11.2,110.0,53.0,179.0,0.43,0.19,0.62,0.43,0.62,0.47,0.22,0.69,0.47,0.69
8,Malo Gusto,fr FRA,DF,21-308,24.0,17,1551.0,17.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,1.0,2.5,39.0,92.0,73.0,0.0,0.06,0.06,0.0,0.06,0.09,0.06,0.15,0.09,0.15
